STATE,PCT18+
UNITED STATES,77.4
ALABAMA,77.5
ALASKA,75
ARIZONA,76.7
ARKANSAS,76.5
CALIFORNIA,77.1
COLORADO,77.5
CONNECTICUT,79.3
DELAWARE,78.7
DISTRICT OF COLUMBIA,82.1
FLORIDA,80
GEORGIA,75.9
HAWAII,78.6
IDAHO,74.2
ILLINOIS,77.4
INDIANA,76.4
IOWA,76.7
KANSAS,75.5
KENTUCKY,77.3
LOUISIANA,76.3
MAINE,81.1
MARYLAND,77.7
MASSACHUSETTS,80
MICHIGAN,78.2
MINNESOTA,76.7
MISSISSIPPI,76.1
MISSOURI,77.4
MONTANA,78.2
NEBRASKA,75.2
NEVADA,77.1
NEW HAMPSHIRE,80.7
NEW JERSEY,78
NEW MEXICO,76.6
NEW YORK,79.1
NORTH CAROLINA,77.6
NORTH DAKOTA,76.7
OHIO,77.7
OKLAHOMA,75.6
OREGON,78.9
PENNSYLVANIA,79.2
RHODE ISLAND,80.4
SOUTH CAROLINA,78
SOUTH DAKOTA,75.3
TENNESSEE,77.6
TEXAS,74
UTAH,70.1
VERMONT,81.3
VIRGINIA,77.9
WASHINGTON,77.8
WEST VIRGINIA,79.6
WISCONSIN,77.9
WYOMING,76.4
PUERTO RICO COMMONWEALTH,80.3
